ID,Age,Overall,Potential,Value,Wage,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release.Clause,Preferred.Foot,Work.Rate,Position,International.Reputation
158023,31,94,94,€110.5M,€565K,5'7,159lbs,90,90,90,94,95,95,95,94,95,95,95,93,86,86,86,93,66,63,63,63,66,61,49,49,49,61,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,€226.5M,Left,MediumMedium,RF,5
20801,33,94,94,€77M,€405K,6'2,183lbs,94,94,94,92,93,93,93,92,91,91,91,91,84,84,84,91,68,64,64,64,68,64,56,56,56,64,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,€127.1M,Right,HighLow,ST,5
190871,26,92,93,€118.5M,€290K,5'9,150lbs,87,87,87,92,92,92,92,92,92,92,92,91,84,84,84,91,68,63,63,63,68,63,50,50,50,63,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,€228.1M,Right,HighMedium,LW,5
192985,27,91,92,€102M,€355K,5'11,154lbs,85,85,85,90,90,90,90,90,91,91,91,91,90,90,90,91,80,80,80,80,80,76,69,69,69,76,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,€196.4M,Right,HighHigh,RCM,4
183277,27,91,91,€93M,€340K,5'8,163lbs,86,86,86,92,91,91,91,92,92,92,92,92,85,85,85,92,69,66,66,66,69,63,52,52,52,63,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,€172.1M,Right,HighMedium,LF,4
177003,32,91,91,€67M,€420K,5'8,146lbs,80,80,80,88,87,87,87,88,90,90,90,89,91,91,91,89,85,84,84,84,85,82,74,74,74,82,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,€137.4M,Right,HighHigh,RCM,4
176580,31,91,91,€80M,€455K,6'0,190lbs,92,92,92,91,92,92,92,91,90,90,90,89,84,84,84,89,74,73,73,73,74,71,68,68,68,71,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,€164M,Right,HighMedium,RS,5
155862,32,91,91,€51M,€380K,6'0,181lbs,76,76,76,73,74,74,74,73,74,74,74,75,78,78,78,75,84,87,87,87,84,87,90,90,90,87,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,€104.6M,Right,HighMedium,RCB,4
188545,29,90,90,€77M,€205K,6'0,176lbs,90,90,90,86,89,89,89,86,86,86,86,84,80,80,80,84,64,65,65,65,64,61,60,60,60,61,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,€127.1M,Right,HighMedium,ST,4
182521,28,90,90,€76.5M,€355K,6'0,168lbs,81,81,81,84,85,85,85,84,87,87,87,85,89,89,89,85,82,85,85,85,82,80,75,75,75,80,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,€156.8M,Right,MediumMedium,LCM,4
182493,32,90,90,€44M,€125K,6'2,172lbs,67,67,67,64,65,65,65,64,65,65,65,66,71,71,71,66,79,84,84,84,79,82,90,90,90,82,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,€90.2M,Right,MediumHigh,CB,3
168542,32,90,90,€60M,€285K,5'8,148lbs,80,80,80,88,87,87,87,88,90,90,90,88,88,88,88,88,72,73,73,73,72,67,60,60,60,67,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,€111M,Left,HighMedium,LCM,4
215914,27,89,90,€63M,€225K,5'6,159lbs,75,75,75,80,80,80,80,80,82,82,82,82,85,85,85,82,88,90,90,90,88,87,86,86,86,87,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,€121.3M,Right,MediumHigh,LDM,3
211110,24,89,94,€89M,€205K,5'10,165lbs,86,86,86,90,89,89,89,90,90,90,90,89,82,82,82,89,65,61,61,61,65,59,48,48,48,59,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,€153.5M,Left,HighMedium,LF,3
202126,24,89,91,€83.5M,€205K,6'2,196lbs,89,89,89,85,87,87,87,85,85,85,85,84,82,82,82,84,68,69,69,69,68,65,63,63,63,65,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,€160.7M,Right,HighHigh,ST,3
194765,27,89,90,€78M,€145K,5'9,161lbs,89,89,89,90,90,90,90,90,89,89,89,89,83,83,83,89,73,70,70,70,73,70,64,64,64,70,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,€165.8M,Left,HighHigh,CAM,4
189511,29,89,89,€51.5M,€315K,6'2,168lbs,74,74,74,77,79,79,79,77,82,82,82,79,86,86,86,79,82,89,89,89,82,81,85,85,85,81,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,€105.6M,Right,MediumMedium,CDM,4
179813,31,89,89,€60M,€200K,6'1,170lbs,88,88,88,84,86,86,86,84,83,83,83,82,78,78,78,82,70,68,68,68,70,68,66,66,66,68,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,€111M,Right,HighHigh,LS,4
153079,30,89,89,€64.5M,€300K,5'8,154lbs,89,89,89,89,90,90,90,89,88,88,88,86,79,79,79,86,61,59,59,59,61,56,50,50,50,56,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,€119.3M,Right,HighMedium,ST,4
138956,33,89,89,€27M,€215K,6'2,187lbs,61,61,61,57,58,58,58,57,57,57,57,59,63,63,63,59,77,79,79,79,77,80,89,89,89,80,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,€44.6M,Left,MediumHigh,LCB,4
231747,19,88,95,€81M,€100K,5'10,161lbs,88,88,88,90,90,90,90,90,89,89,89,89,81,81,81,89,69,65,65,65,69,65,57,57,57,65,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,€166.1M,Right,HighMedium,RM,3
209331,26,88,89,€69.5M,€255K,5'9,157lbs,86,86,86,90,89,89,89,90,89,89,89,89,83,83,83,89,73,69,69,69,73,69,60,60,60,69,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,€137.3M,Left,HighMedium,RM,3
200145,26,88,90,€59.5M,€285K,6'1,185lbs,75,75,75,72,76,76,76,72,77,77,77,74,83,83,83,74,81,88,88,88,81,82,88,88,88,82,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,€126.4M,Right,MediumHigh,CDM,3
198710,26,88,89,€69.5M,€315K,5'11,172lbs,83,83,83,87,86,86,86,87,88,88,88,86,84,84,84,86,72,71,71,71,72,68,61,61,61,68,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,,Left,MediumMedium,LAM,4
198219,27,88,88,€62M,€165K,5'4,130lbs,81,81,81,89,88,88,88,89,89,89,89,89,81,81,81,89,66,61,61,61,66,61,47,47,47,61,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,€105.4M,Right,HighMedium,LW,3
197781,26,88,91,€73.5M,€315K,5'9,174lbs,79,79,79,87,86,86,86,87,89,89,89,86,86,86,86,86,75,76,76,76,75,71,66,66,66,71,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,€156.2M,Right,HighMedium,LW,3
190460,26,88,91,€73.5M,€205K,5'11,168lbs,82,82,82,87,87,87,87,87,89,89,89,88,88,88,88,88,74,74,74,74,74,69,60,60,60,69,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,€141.5M,Right,HighMedium,CAM,3
189242,26,88,89,€69.5M,€340K,5'8,150lbs,82,82,82,89,88,88,88,89,90,90,90,88,86,86,86,88,74,73,73,73,74,70,61,61,61,70,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,€147.7M,Right,HighHigh,LW,3
188567,29,88,88,€59M,€265K,6'2,176lbs,87,87,87,86,86,86,86,86,84,84,84,84,76,76,76,84,67,61,61,61,67,64,55,55,55,64,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,€112.1M,Right,MediumLow,LM,3
178603,29,88,88,€46M,€160K,6'3,203lbs,72,72,72,71,72,72,72,71,74,74,74,73,80,80,80,73,81,86,86,86,81,83,88,88,88,83,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,€75.9M,Right,HighMedium,LCB,4
176676,30,88,88,€43M,€285K,5'9,176lbs,83,83,83,87,86,86,86,87,87,87,87,88,87,87,87,88,88,86,86,86,88,87,84,84,84,87,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,€88.2M,Left,HighLow,LB,4
